"X","Y","Z","ReturnNumber","NumberOfReturns","Classification"
309227.400,6143481.940,466.440,1.000,2.000,5.000
309227.370,6143481.810,466.250,1.000,2.000,5.000
309227.370,6143481.640,466.430,1.000,2.000,5.000
309227.330,6143481.520,466.110,1.000,2.000,5.000
309227.300,6143481.370,466.030,1.000,2.000,5.000
309229.240,6143496.990,468.070,1.000,1.000,5.000
309229.230,6143496.830,468.070,1.000,2.000,5.000
309229.200,6143496.710,467.900,1.000,3.000,5.000
309229.210,6143496.500,468.160,1.000,3.000,5.000
309229.150,6143496.460,467.630,1.000,3.000,5.000
309229.150,6143496.260,467.790,1.000,3.000,5.000
309229.060,6143496.300,466.810,1.000,3.000,5.000
309229.050,6143496.120,466.930,1.000,2.000,5.000
309229.050,6143495.950,467.010,1.000,4.000,5.000
309228.950,6143496.210,465.700,2.000,4.000,5.000
309228.700,6143496.850,462.480,3.000,4.000,5.000
309229.010,6143495.840,466.790,1.000,3.000,5.000
309228.920,6143496.080,465.520,2.000,3.000,5.000
309229.000,6143495.690,466.750,1.000,1.000,5.000
309229.000,6143495.490,466.980,1.000,4.000,5.000
309228.900,6143495.740,465.650,2.000,4.000,5.000
309228.830,6143495.910,464.820,3.000,4.000,5.000
309228.960,6143495.390,466.670,1.000,3.000,5.000
309228.850,6143495.660,465.290,2.000,3.000,5.000
309228.380,6143496.890,458.970,3.000,3.000,2.000
309228.880,6143495.390,465.810,1.000,2.000,5.000
309228.360,6143496.710,459.030,2.000,2.000,2.000
309228.920,6143495.110,466.520,1.000,5.000,5.000
309228.860,6143495.250,465.770,2.000,5.000,5.000
309228.800,6143495.410,464.920,3.000,5.000,5.000
309228.550,6143496.040,461.670,4.000,5.000,5.000
309228.350,6143496.550,459.060,5.000,5.000,2.000
309229.070,6143494.520,468.760,1.000,3.000,5.000
309228.770,6143495.270,464.820,2.000,3.000,5.000
309228.330,6143496.390,459.020,3.000,3.000,2.000
309229.040,6143494.400,468.550,1.000,4.000,5.000
309228.760,6143495.110,464.830,2.000,4.000,5.000
309228.430,6143495.930,460.530,3.000,4.000,1.000
309228.320,6143496.220,459.030,4.000,4.000,2.000
309229.040,6143494.190,468.780,1.000,3.000,5.000
309228.410,6143495.790,460.460,2.000,3.000,1.000
309228.300,6143496.050,459.060,3.000,3.000,2.000
309229.040,6143494.020,468.880,1.000,3.000,5.000
309228.360,6143495.700,460.020,2.000,3.000,1.000
309228.290,6143495.880,459.110,3.000,3.000,2.000
309229.020,6143493.880,468.800,1.000,2.000,5.000
309228.270,6143495.720,459.070,2.000,2.000,2.000
309229.000,6143493.740,468.760,1.000,2.000,5.000
309228.260,6143495.550,459.100,2.000,2.000,2.000
309228.990,6143493.570,468.790,1.000,3.000,5.000
309228.640,6143494.410,464.310,2.000,3.000,5.000
309228.240,6143495.390,459.090,3.000,3.000,2.000
309228.940,6143493.500,468.360,1.000,3.000,5.000
309228.620,6143494.270,464.210,2.000,3.000,5.000
309228.230,6143495.220,459.100,3.000,3.000,2.000
309228.210,6143495.060,459.100,1.000,1.000,2.000
309228.200,6143494.890,459.100,1.000,1.000,2.000
309228.640,6143493.650,465.040,1.000,2.000,5.000
309228.190,6143494.730,459.150,2.000,2.000,2.000
309228.170,6143494.560,459.120,1.000,1.000,2.000
